Volume,Issue,Page no.,Scan Quality,Contents Title,Author,Form ,Page layout,Illustrated,What illustration,Advertisment, Interactive ,What interactive ,Event 
,,16,Good,N/A,Jack Babuscio,Article,Columns,N,N,N,N,N/A,N
,,17,Good,N/A,Jack Babuscio,Article,Columns,N,N,N,N,N/A,N
,,18,Good,N/A,"Jack Babuscio, A",Article,Columns,N,N,N,N,N/A,N
,,19,Good,Cartoons,Kaye Charlesworth,Illustration,Illustration,Y,Large graphic,N,N,N/A,N
,,20,Good,N/A,Kaye Charlesworth,Illustration,Illustration,Y,Large graphic,N,N,N/A,N
,,21,Good,Spike Revised,N/A,Sappho,Columns,Y,"Title, Graphic",Groups ,N,N/A,Meetings for Sappho and advertised group organisations.
,,22,Good,N/A,N/A,Sappho,Columns,N,N,Groups ,N,N/A,Meetings for Sappho and advertised group organisations.
,,23,Good,N/A,Joan Young,Article,"Columns, Box",Y,Advert,"Perfume, Club, Other Magazines",N,N/A,N
,,24,Good,Sappho  ,Karen Craven,Article,Columns ,Y,Large graphic,N,N,N/A,N
,,25,Good,N/A,Karen Craven,Article,Columns ,N,Graphic,N,N,N/A,N
,,26,Good,Cassettes,N/A,Subscription,Paragraph,Y,"Title, Text encouraging contributions",Sappho promotion graphics,Y,Cassette club,N
,,27,Good,Aims & Objectives,N/A,Sappho,Text boxes,N,N,N,Y,Subscriptions,N
,,28,Good,N/A,N/A,Back page,Cover ,Y,Cover,N,N,N/A,N
3,1,1,Good,N/A,N/A,Front Cover,Cover ,Y,Cover,N,N,N/A,N
,,2,Good,N/A,N/A,Adverts,Text boxes,Y,Advert,"Restaurant, Bookshop, Other magazines",N ,N/A,N
,,3,Good,N/A,N/A,"Contents, Credits",Text boxes,N,N,N,N,N/A,N
,,4,Good,Sapphoscene,N/A,Sapphoscene ,Columns,Y,Title,"Groups, feminist publishing house",N,N/A,N
,,5,Good,N/A,N/A,Sapphoscene ,Columns,N,N,"restaurant, book mail order",N,N/A,GLF conference Lanc Uni
,,6,Good,Marital Morality,Joan Young,Article,Columns,N,N,N,N,N/A,N
,,7,Good,N/A,Joan Young,Article,Columns,N,N,N,N,N/A,N
,,8,Good,N/A,Joan Young,Article,Columns,N,N,N,N,N/A,N
,,9,Good,Heteraecetera,N/A,Letters,Columns,Y,Title,N,Y,Letters to Sappho and replies ,N
,,10,Good,N/A,N/A,Letters,Columns,N,N,N,Y,Letters to Sappho and replies ,N
,,11,Good,N/A,N/A,Letters,Columns,N,N,N,Y,Letters to Sappho and replies ,N
,,12,Good,N/A,N/A,Letters,Columns,N,N,N,Y,Letters to Sappho and replies ,N
,,13,Good,Integroup,Veronica Ha//ey,Adverts,Columns,N,N,N,N,N/A,N
,,14,Good,Support Sappho,N/A,Adverts,"Text, Photo, Illustration",Y,"Photograph, large graphic",Sappho promotion ,N,N/A,N
,,15,Good,N/A,N/A,Photos,Photo ,Y,Photograph,Sappho promotion ,N,N/A,N
,,16,Good,Tampons,"Ginger Baim, Cara Peters",Article,Columns,N,N,N,N,N/A,N
,,17,Good,N/A,"Ginger Baim, Cara Peters",Article,Columns,N,N,N,N,N/A,N
,,18,Good,Amazon,N/A,Article,Paragraph,Y,Title,N,N,N/A,N
,,19,Good,Book Review,Joan Young,Review,Columns,Y,Title,N,N,N/A,N
,,20,Good,N/A,Joan Young,Review,Columns,N,N,N,N,N/A,N
,,21,Good,N/A,Joan Young,Review,Columns,N,N,N,N,N/A,N
,,22,Good,N/A,"Rosanna Hibbert, Babs Todd",Review,Columns,N,N,N,N,N/A,N
,,23,Good,X-word Answer,Hillary Vickers,Review,Columns,Y,Advert,"Guide book, Club",Y,Crossword ,N
,,24,Good,Spike Revised,N/A,Sappho,Columns,Y,Title,Groups ,N,N/A,Meetings for Sappho and advertised group organisations.
,,25,Good,N/A,N/A,Sappho,Columns,N,N,Groups ,N,N/A,Meetings for Sappho and advertised group organisations.
,,26,Good,Cassette Club,N/A,Subscription,Paragraph,Y,"Title, Comic",N,Y,Cassette club,N
,,27,Good,Aims & Objectives,N/A,Sappho,"Paragraph, Text Boxes",N,N,N,Y,Subscriptions,N
,,28,Good,N/A,N/A,Back page,Cover ,Y,Cover,N,N,N/A,N
,3,1,Ok,N/A,N/A,Front Cover,Cover ,Y,Cover,N,N,N/A,N
,,2,Good,N/A,N/A,Adverts,Text boxes,Y,Advert,"Restaurant, Bookshop, Other magazines",N,N/A,N
,,3,Good,N/A,N/A,"Contents, Credits",Text boxes,N,N,N,N,N/A,N
,,4,Good,Sapphoscene,N/A,Sapphoscene ,Columns,Y,Title,Groups ,N,N/A,N
,,5,Good,Women in Groups,Mary Stott,Article,Columns,N,N,N,N,N/A,N
,,6,Good,N/A,Mary Stott,Article,Columns,N,N,N,N,N/A,N
,,7,Good,N/A,Mary Stott,Article,Columns,N,N,N,N,N/A,N
,,8,Good,N/A,Mary Stott,Article,Columns,N,N,N,N,N/A,N
,,9,Good,What Makes Gays,Joan Young,Article,Columns,Y,Large graphic,N,N,N/A,N
,,10,Good,N/A,Joan Young,Article,Columns,N,N,N,N,N/A,N
,,11,Good,N/A,Joan Young,Article,Columns,N,N,N,N,N/A,N
,,12,Good,Heteraecetera,N/A,Letters,Columns,Y,Title,N,Y,Letters to Sappho and replies ,N
,,13,Good,N/A,N/A,Letters,Columns,N,N,N,Y,Letters to Sappho and replies ,N
,,14,Good,Day in The Life Of,N/A,Letters,Columns,N,N,N,Y,Letters to Sappho and replies ,N
,,15,Good,N/A,"Marie Thompson, Nick Stockton",Photos,Photo ,Y,Photograph,N,N,N/A,N
,,16,Good,N/A,"Marie Thompson, Nick Stockton",Photos,Photo ,Y,Photograph,N,N,N/A,N
,,17,Good,N/A,"Marie Thompson, Nick Stockton",Photos,Photo ,Y,Photograph,N,N,N/A,N
,,18,Good,N/A,"Marie Thompson, Nick Stockton",Photos,Photo ,Y,Photograph,N,N,N/A,N
,,19,Good,Dutch Dykes,Willemien Ruygrok,Article,Columns,N,N,N,N,N/A,N
,,20,Good,N/A,Willemien Ruygrok,Article,Columns,N,N,N,N,N/A,N
,,21,Good,Poems,Elsa Gidlow,Poem,Columns,N,N,N,N,N/A,N
,,22,Good,N/A,J.H. Surrey,Poem,Columns,N,N,N,N,N/A,N
,,23,Good,Amazon,N/A,Article,Paragraph,Y,Title,N,N,N/A,N
,,24,Good,Speculum,N/A,Article,Columns,Y,Title,N,N,N/A,N
,,25,Poor,N/A,N/A,Article,Columns,N,N,N,N,N/A,N
,,26,Ok,N/A,N/A,Adverts,Paragraph,Y,Map graphic,Bookshops,N,N/A,N
,,27,Ok,N/A,N/A,Letters,Columns,N,N,N,Y,Letters to Sappho and replies ,N
,,28,Ok,Spike  ,N/A,Sappho,Columns,Y,Title,Groups ,N,N/A,Meetings for Sappho and advertised group organisations.
,,29,Good,N/A,N/A,Sappho,Columns,N,N,Groups ,N,N/A,N
,,30,Ok,Cassette Club,Kate Charlesworth,Subscription,Paragraph,Y,"Title, Comic",N,Y,Cassette club,N
,,31,Good,Aims & Objectives,N/A,Sappho,"Paragraph, Text Boxes",N,N,N,Y,Subscriptions,N
,,32,Good,N/A,N/A,Back page,Cover ,Y,Cover,N,N,N/A,N
,5,1,Ok,N/A,N/A,Front Cover,Cover ,Y,Cover,N,N,N/A,N
,,2,Good,N/A,N/A,Adverts,Text boxes,Y,Advert,"Restaurant, Bookshop, Other magazines",N,N/A,N
,,3,Ok,N/A,N/A,"Contents, Credits",Text boxes,N,N,N,N,N/A,N
,,4,Ok,Sapphoscene,N/A,Sapphoscene ,Columns,Y,Title,"Socials, Groups",N,N/A,Socials
,,5,Good,N/A,N/A,Sapphoscene ,Columns,N,N,Groups ,N,N/A,N
,,6,Good,Heterogenous Homos,Joan Young,Article,Columns,Y,Title,N,N,N/A,N
,,7,Good,N/A,Joan Young,Article,Columns,N,N,N,N,N/A,N
,,8,Good,N/A,Joan Young,Article,Columns,N,N,N,N,N/A,N
,,9,Good,N/A,Joan Young,Article,Columns,N,N,N,N,N/A,N
,,10,Good,Heteraecetera,N/A,Letters,Columns,Y,"Title, Graphic",N,Y,Letters to Sappho and replies ,N
,,11,Good,N/A,N/A,Letters,Columns,Y,Graphic,N,Y,Letters to Sappho and replies ,N
,,12,Good,N/A,N/A,Letters,Columns,N,N,N,Y,Letters to Sappho and replies ,N
,,13,Good,N/A,N/A,Letters,Columns,Y,Advert,Club,Y,Letters to Sappho and replies ,N
,,14,Good,N/A,N/A,Letters,Columns,N,N,N,Y,Letters to Sappho and replies ,N
,,15,Ok,Artists,Ruth Thomas ,Article,Columns,Y,Large graphic,N,N,N/A,N
,,16,Ok,N/A,Ruth Thomas ,Article,Illustration,Y,Large graphic,N,N,N/A,N
,,17,Ok,N/A,Ruth Thomas ,Article,Columns,Y,Large graphic,N,N,N/A,N
,,18,Good,Jo's Story,V.A.Vennett,Story,Columns,N,N,N,N,N/A,N
,,19,Good,N/A,V.A.Vennett,Story,Columns,N,N,N,N,N/A,N
,,20,Good,Demons,Rodger Baker,Article,Columns,Y,"Title, Graphic",N,N,N/A,N
,,21,Good,N/A,Rodger Baker,Article,Columns,N,N,N,N,N/A,N
,,22,Good,Bird's Eye View,Jill Gregory,Article,Columns,Y,Title,N,N,N/A,N
,,23,Good,N/A,Jill Gregory,Article,Columns,Y,Border,N,N,N/A,N
,,24,Good,Speculum,N/A,Article,Columns,Y,Title,N,N,N/A,N
,,25,Good,N/A,N/A,Article,Columns,N,N,N,N,N/A,N
,,26,Ok,N/A,N/A,Article,Columns,N,N,N,N,N/A,N
,,27,Ok,Amazon,N/A,Article,Paragraph,Y,"Title, Graphic",N,N,N/A,N
,,28,Ok,Spike Revised,N/A,Sappho,Columns,Y,"Title, Borders",Groups ,N,N/A,N
,,29,Ok,N/A,N/A,Sappho,Columns,Y,Border,Groups ,N,N/A,N
,,30,Ok,Cassette Club,Kate Charlesworth,Subscription,"Paragraph, Text Boxes",Y,"Title, Comic",N,Y,Cassette club,N
,,31,Ok,Aims & Objectives,N/A,Sappho,"Paragraph, Text Boxes",N,N,N,Y,Subscriptions,N
,,32,Ok,N/A,N/A,Back page,Cover ,Y,Cover,N,N,N/A,N
,7,1,Ok,N/A,N/A,Front Cover,Cover ,Y,Cover,N,N,N/A,N
,,2,Good,N/A,N/A,Adverts,Text boxes,Y,Advert,"Restaurant, Bookshop, Other magazines",N,N/A,N
,,3,Good,N/A,N/A,"Contents, Credits",Text boxes,N,N,N,N,N/A,N
,,4,Good,Sapphoscene,N/A,Sapphoscene ,Columns,Y,Title,"Groups, meetings",N,N/A,Meetings for Sappho
,,5,Ok,N/A,N/A,Sapphoscene ,Columns,N,N,Groups ,N,N/A,N
,,6,Ok,N/A,"Ruth , Liz",Sapphoscene ,Columns,Y,Advert,CHE Travel Service,N,N/A,N
,,7,Good,Monster,Robin Morgan,Poem,Columns,Y,Large graphic,N,N,N/A,N
,,8,Good,Lavender Vote,Sonja K. Lowenfish,Article,Columns,Y,Photograph,N,N,N/A,N
,,9,Ok,Heteraecetera,N/A,Letters,Columns,Y,"Title, Graphic",N,Y,Letters to Sappho and replies ,N
,,10,Ok,N/A,N/A,Letters,Columns,N,N,N,Y,Letters to Sappho and replies ,N
,,11,Good,N/A,N/A,Letters,Columns,N,N,N,Y,Letters to Sappho and replies ,N
,,12,Good,N/A,N/A,Letters,Columns,N,N,N,Y,Letters to Sappho and replies ,N
,,13,Good,Pat Arrowsmith,N/A,Article,Paragraph,Y,Large graphic,N,N,N/A,N
,,14,Good,N/A,Pat Arrowsmith,Poem,Columns,Y,Large graphic,N,N,N/A,N
,,15,Ok,N/A,Kim Freile,Article,Columns,N,N,N,N,N/A,N
,,16,Ok,Gay Pride,Kim Freile,Article,Columns,N,N,N,N,N/A,N
,,17,Good,N/A,Kim Freile,Article,Columns,N,N,N,N,N/A,N
,,18,Good,N/A,Kim Freile,Article,Columns,N,N,N,N,N/A,N
,,19,Ok,Feme,Tony Burnett,Article,Columns,Y,Graphic,N,N,N/A,N
,,20,Ok,Copenhagen,Inga Jons,Article,Columns,Y,Graphic,N,N,N/A,N
,,21,Ok,Spain,Shirley ,Article,Columns,Y,Graphic,N,N,N/A,N
,,22,Ok,N/A,Shirley ,Article,Columns,Y,Graphic,N,N,N/A,N
,,23,Ok,British Railways,Minna,Article,Columns,Y,Graphic,N,N,N/A,N
,,24,Ok,N/A,Minna,Article,Columns,Y,Graphic,N,N,N/A,N
,,25,Ok,London Transport,Barbara,Article,Columns,Y,Graphic,N,N,N/A,N
,,26,Poor,N/A,Barbara,Article,Columns,Y,Graphic,N,N,N/A,N
,,27,Poor,Amazon,N/A,Article,Paragraph,Y,"Title, Graphic",N,N ,N/A,N
,,28,Poor,Spike Revised,Kate Charlesworth,Sappho,Columns,Y,"Title, Graphic","Groups, meetings",N,N/A,N
,,29,Poor,N/A,N/A,Sappho,Columns,N,N,Groups ,N,N/A,N
,,30,Ok,N/A,N/A,Subscription,"Paragraph, Text Boxes",Y,"Title, Graphic",N,Y,Subscriptions,N
,,31,Ok,N/A,N/A,Sappho,"Paragraph, Text Boxes",N,N,N,Y,Subscriptions,N
,,32,Good,N/A,N/A,Back page,Cover ,Y,Cover,N,N,N/A,N
,9,1,Ok,N/A,N/A,Front Cover,Cover ,Y,Cover,N,N,N/A,N
,,2,Good,N/A,N/A,Adverts,Text boxes,Y,Advert,"Restaurant, Bookshop, Other magazines",N,N/A,N
,,3,Good,N/A,N/A,"Contents, Credits",Text boxes,N,N,N,N,N/A,N
,,4,Good,Sapphoscene,N/A,Sapphoscene ,Columns,Y,T,"Meetings, events",N,N/A,"Diary Dates' Talks, Disco"
,,5,Good,N/A,N/A,Sapphoscene ,Columns,N,N,N,N,N/A,N
,,6,Good,Teachers Story,Janet Cooper,Article,Columns,N,N,N,N,N/A,N
,,7,Good,N/A,Janet Cooper,Article,Columns,N,N,N,N,N/A,N
,,8,Good,Heteraecetera,Janet Cooper,Article,Columns,Y,Graphic,N,N,N/A,N
,,9,Good,N/A,N/A,Letters,Columns,Y,"Title, Graphic",N,Y,Letters to Sappho and replies ,N
,,10,Good,N/A,N/A,Letters,Columns,N,N,N,Y,Letters to Sappho and replies ,N
,,11,Good,N/A,N/A,Letters,Columns,N,N,N,Y,Letters to Sappho and replies ,N
,,12,Good,N/A,N/A,Letters,Columns,N,N,N,Y,Letters to Sappho and replies ,N
,,13,Good,Poem ,N/A,Poem,Paragraph,Y,"Handwritten, Graphics",N,N,N/A,N
,,14,Good,Lesbian Feminists,N/A,Article,Columns,N,N,N,N,N/A,N
,,15,Good,Tom Dick & Harry,Joan Young,Article,Columns,N,N,N,N,N/A,N
,,16,Good,N/A,Joan Young,Article,Columns,N,N,N,N,N/A,N
,,17,Good,N/A,Joan Young,Article,Columns,N,N,N,N,N/A,N
,,18,Good,N/A,Joan Young,Article,Columns,Y,"Graphic, Advert","Bookshop, Sappho advertising rates",N,N/A,N
,,19,Good,The Daniad,Jane Carpenter,Story,Columns,N,N,N,N,N/A,N
,,20,Good,N/A,Jane Carpenter,Story,Columns,Y,N,N,N,N/A,N
,,21,Good,Book Review,Carolyn G. Heilbrun,Review,Columns,N,N,N,N,N/A,N
,,22,Good,N/A,Carolyn G. Heilbrun,Review,Columns,Y,"Title, Graphic",Disco,N,N/A,Disco
,,23,Good,N/A,"Renee Bailey, Sonja K.Lowenfish",Review,Columns,Y,Advert,Club,N,N/A,N
,,24,Good,Lesbian Mothers,J.G.,Article,Paragraph,N,N,N,N,N/A,N
,,25,Good,N/A,J.G.,Article,Paragraph,Y,Graphic,N,N,N/A,N
,,26,Good,August Trust,Judith Gollings ,Article,Paragraph,N,N,N,N,N/A,N
,,27,Good,Amazon,N/A,Article,Paragraph,Y,"Title, Graphic",N,N,N/A,N
,,28,Good,Spike  ,N/A,Sappho,Columns,N,N,"Groups, meetings",N,N/A,Meetings for Sappho
,,29,Good,N/A,N/A,Sappho,Columns,N,N,Groups ,N,N/A,N
,,30,Good,Cassette Club,N/A,Subscription,"Paragraph, Text Boxes",Y,Title,N,Y,Subscriptions,N
,,31,Good,N/A,N/A,Sappho,"Paragraph, Text Boxes",N,N,N,Y,Subscriptions,N
,,32,Good,N/A,N/A,Back page,Cover ,Y,Cover,N,N,N/A,N
,11,1,Good,N/A,N/A,Front Cover,Cover ,Y,Cover,N,N,N/A,N
,,2,Good,N/A,N/A,Adverts,Text boxes,Y,Advert,"Restaurant, Bookshop, Other magazines",,,N
,,3,Good,N/A,N/A,"Contents, Credits",Text boxes,N,N,N,N,N/A,N
,,4,Good,Sapphoscene,N/A,Sapphoscene ,Columns,Y,Title,N,N,N/A,N
,,5,Good,At Our Faith Value,Joan Young,Article,Columns,N,N,N,N,N/A,N
,,6,Good,N/A,Joan Young,Article,Columns,N,N,N,N,N/A,N
,,7,Good,N/A,Joan Young,Article,Columns,N,N,N,N ,N/A,N
,,8,Ok,Short Story,Colin Woolf,Story,Columns,N,N,N,N,N/A,N
,,9,Ok,N/A,Colin Woolf,Story,Columns,N,N,N,N,N/A,N
,,10,Good,Women in India,Nayantara Sehgal,Article,Columns,Y,Large graphic,N,N,N/A,N
,,11,Good,N/A,Nayantara Sehgal,Article,Columns,N,N,N,N,N/A,N
,,12,Good,N/A,Nayantara Sehgal,Article,Columns,N,N,N,N,N/A,N
,,13,Ok,N/A,Nayantara Sehgal,Article,Columns,N,N,N,N,N/A,N
,,14,Good,Heteraecetera,N/A,Letters,Columns,Y,"Title, Graphic",N,Y,Letters to Sappho and replies ,N
,,15,Ok,N/A,N/A,Letters,Columns,N,N,N,Y,Letters to Sappho and replies ,N
,,16,Ok,Sappho of Letchworth,N/A,Photos,Photo ,Y,Photograph,N,N,N/A,N
,,17,Ok,N/A,Gowyn Venman,Article,"Photo, Columns",Y,Photograph,N,N,N/A,N
,,18,Ok,Poem ,Anona,Poem,Paragraph,N,N,N,N,N/A,N
,,19,Good,N/A,N/A,Letters,Columns,Y,Comic,N,Y,Letters to Sappho and replies ,N
,,20,Good,Lesbian Alcoholism,Kristi,Article,Columns,N,N,N,N,N/A,N
,,21,Ok,N/A,Kristi,Article,Columns,Y,Advert,Hotel,N,N/A,N
,,22,Good,Women in Ireland,Judith Tucker,Article,Columns,N,N,N,N,N/A,N
,,23,Ok,Day by Day ,N/A,Article,Paragraph,Y,Advert,"Books, Other magazine",N,N/A,N
,,24,Ok,Ordination of Women,Jacqui,Article,Paragraph,N,N,N,N,N/A,N
,,25,Good,Amazon,N/A,Article,Paragraph,Y,"Title, Graphic",N,N,N/A,N
,,26,Good,N/A,Joan Young,Article,Columns,N,N,N,N,N/A,N
,,27,Good,Cassette Club,N/A,Subscription,"Paragraph, Text Boxes",Y,Title,N,Y,Cassette club,N
,,28,Ok,Spike  ,N/A,Sappho,Columns,N,N,"Groups, meetings",N,N/A,N
,,29,Ok,N/A,N/A,Sappho,Columns,N,N,Groups ,N,N/A,N
,,30,Good,Joint Subs.,N/A,Subscription,Paragraph,Y,Graphic,N,Y,Subscriptions,N
,,31,Good,Aims & Objectives,N/A,Sappho,"Paragraph, Text Boxes",N,N,N,Y,Subscriptions,N
,,32,Good,N/A,N/A,Back page,Cover ,Y,Cover,N,N,N/A,N
4,1,1,Good,N/A,N/A,Front Cover,Cover ,Y,Cover,N,N,N/A,N
,,2,Good,N/A,N/A,Sappho,Paragraph,N,N,N,N,N/A,N
,,3,Good,N/A,N/A,"Contents, Credits",Text boxes,Y,Title,"Sappho promotion, Groups",N,N/A,N
,,4,Good,Sapphoscene,N/A,Sapphoscene ,Columns,N,N,"Groups, meetings",N,N/A,N
,,5,Good,N/A,N/A,Sapphoscene ,Columns,N,N,N,N,N/A,N
,,6,Good,Gay Teachers,"Ruth Thomas, Liz Shipside",Article,Columns,N,N,N,N,N/A,N
,,7,Good,"Wot, No Armageddon?",Joan Young,Article,Columns,N,N,N,N,N/A,N
,,8,Good,N/A,Joan Young,Article,Columns,N,N,N,N,N/A,N
,,9,Good,N/A,Joan Young,Article,Columns,N,N,N,N,N/A,N
,,10,Good,N/A,Joan Young,Article,Columns,N,N,N,N,N/A,N
,,11,Good,Old and Gay,N/A,Article,Columns,Y,Title,N,N,N/A,N
,,12,Good,The Right Idea ,Jenny Dent,Article,Columns,N,N,N,N,N/A,N
,,13,Good,Short Story,Sonja K. Lowenfish,Story,Columns,N,N,N,N,N/A,N
,,14,Good,Heteraecetera,N/A,Letters,Columns,Y,"Title, Graphic",N,Y,Letters to Sappho and replies ,N
,,15,Good,N/A,N/A,Letters,Columns,N,N,N,Y,Letters to Sappho and replies ,N
,,16,Good,Meeting/ Marching,N/A,Collage,Photo ,Y,Photograph,N,N,N/A,March
,,17,Good,N/A,N/A,Collage,Photo ,Y,Photograph,N,N,N/A,March
,,18,Good,Poems,"Alison J. Laurie, SAPPHO ",Poem,Columns,N,N,N,N,N/A,N
,,19,Good,Cartoon,Friedrich Wilhelm Herter ,Article,Columns,Y,Comic,N,N,N/A,N
,,20,Good,Let's Get It Straight,N/A,Article,Columns,N,N,N,N,N/A,N
,,21,Good,Book Review,Shelia Cameron,Review,Columns,Y,Graphic,N,N,N/A,N
,,22,Good,N/A,Shelia Cameron,Review,Columns,N,N,N,N,N/A,N
,,23,Good,Friends at the Party,N/A,Article,Columns,Y,"Title, Adverts","Massage Academy, Other magazines",N,N/A,N
,,24,Good,N/A,N/A,Letters,Columns,N,N,N,Y,Letters to Sappho and replies ,N
,,25,Good,Amazon,N/A,Article,Paragraph,Y,"Title, Graphic",N,N,N/A,N
,,26,Good,N/A,N/A,Adverts,Paragraph,Y,Advert,Music,N,N/A,N
,,27,Good,The Ginny Tree,N/A,Review,Columns,Y,"Title, Photo",N,N,N/A,N
,,28,Good,N/A,N/A,Sappho,Columns,N,N,"Groups, meetings",N,N/A,Meetings for Sappho and advertised group organisations.
,,29,Good,N/A,N/A,Sappho,Columns,N,N,Groups ,N,N/A,N
,,30,Good,N/A,N/A,Subscription,Paragraph,Y,"Title, Border",N,Y,Cassette club,N
,,31,Good,N/A,N/A,Subscription,Paragraph,Y,Graphic,N,Y,Subscriptions,N
,,32,Good,N/A,N/A,Back page,Cover ,Y,Cover,N,N,N/A,N
,3,1,Ok,N/A,N/A,Front Cover,Cover ,Y,Cover,N,N,N/A,N
,,2,Ok,N/A,N/A,Sappho,Paragraph,N,N,N,N,N/A,N
,,3,Good,N/A,N/A,"Contents, Credits",Text boxes,N,N,N,N,N/A,N
,,4,Good,Sapphoscene,N/A,Sapphoscene ,Columns,Y,"Title, Photo",Groups ,N,N/A,Discos
,,5,Good,The Water's Warm ,Vera Keast,Article,Columns,N,N,N,N,N/A,N
,,6,Good,N/A,Vera Keast,Article,Columns,N,N,N,N,N/A,N
,,7,Good,N/A,Vera Keast,Article,Columns,N,N,N,N,N/A,N
,,8,Good,Heteraecetera,N/A,Letters,Columns,Y,"Title, Graphic",N,Y,Letters to Sappho and replies ,N
,,9,Good,N/A,N/A,Letters,Columns,N,N,N,Y,Letters to Sappho and replies ,N
,,10,Good,N/A,N/A,Letters,Columns,N,N,N,Y,Letters to Sappho and replies ,N
,,11,Good,Sextionnaire,N/A,Article,Paragraph,Y,Title,N,Y,Questionnaire responses,N
,,12,Ok,N/A,N/A,Article,Paragraph,N,N,N,Y,Questionnaire responses,N
,,13,Good,N/A,N/A,Article,Paragraph,N,N,N,Y,Questionnaire responses,N
,,14,Good,CHE Conference,Lee,Article,Columns,N,N,N,N,N/A,N
,,15,Good,N/A,Lee,Article,Columns,Y,Advert,Disco,N,N/A,Discos
,,16,Good,Tweediedum & Tweediedee ,"Jill Tweedie, Jackie",Interview,Columns,Y,Photograph,N,N,N/A,N
,,17,Good,N/A,"Jill Tweedie, Jackie",Interview,Columns,Y,Photograph,N,N,N/A,N
,,18,Good,N/A,"Jill Tweedie, Jackie",Interview,Columns,N,N,N,N,N/A,N
,,19,Good,Poem ,Diane Richardson,Poem,Columns,N,N,N,N,N/A,N
,,20,Good,"Wine, Women & the Sodden",N/A,Article,Columns,N,N,N,N,N/A,N
,,21,Good,N/A,N/A,Article,Columns,N,N,N,N,N/A,N
,,22,Good,N/A,N/A,Article,Columns,N,N,N,N,N/A,N
,,23,Good,N/A,N/A,Adverts,"Text, Illustration",Y,Advert,Bookshops,N,N/A,N
,,24,Good,Gay Teachers: NCCL Report,N/A,Article,Columns,N,N,N,N,N/A,N
,,25,Good,Amazon,N/A,Article,Paragraph,Y,"Title, Graphic",N,N,N/A,N
,,26,Good,N/A,N/A,Article,Paragraph,Y,Title,N,N,N/A,N
,,27,Good,N/A,N/A,Article,Columns,Y,Advert,"Bookshops, Super Services",N,N/A,N
,,28,Good,N/A,N/A,Sappho,Columns,Y,"Title, Graphic","Groups, meetings",N,N/A,Meetings for Sappho and advertised group organisations.
,,29,Good,N/A,N/A,Sappho,Columns,N,N,Groups ,N,N/A,N
,,30,Good,N/A,N/A,Subscription,Columns,Y,"Title, Border",N,Y,Cassette club,N
,,31,Ok,N/A,N/A,Subscription,Paragraph,Y,Graphic,N,Y,Subscriptions,N
,,32,Good,N/A,N/A,Back page,Cover ,Y,Cover,N,N,N/A,N
,5,1,Good,N/A,N/A,Front Cover,Cover ,Y,Cover,N,N,N/A,N
,,2,Good,N/A,N/A,Sappho,Paragraph,N,N,N,N,N/A,N
,,3,Good,N/A,N/A,"Contents, Credits",Text boxes,N,N,N,N,N/A,N
,,4,Good,Sapphoscene,N/A,Sapphoscene ,Columns,Y,Title,Groups ,N,N/A,N
,,5,Good,N/A,N/A,Sapphoscene ,Columns,N,N,Disco,N,N/A,Discos
,,6,Good,Forward Feminists,Renee Bailey ,Article,Columns,N,N,N,N,N/A,N
,,7,Good,N/A,Renee Bailey ,Article,Columns,N,N,N,N,N/A,N
,,8,Good,N/A,Renee Bailey ,Article,Columns,N,N,N,N,N/A,N
,,9,Good,Heteraecetera,N/A,Letters,Columns,Y,"Title, Graphic",N,Y,Letters to Sappho and replies ,
,,10,Good,N/A,N/A,Letters,Columns,Y,Large graphic,N,N,N/A,N
,,11,Good,N/A,N/A,Letters,Columns,N,N,N,Y,Letters to Sappho and replies ,N
,,12,Good,N/A,N/A,Letters,Columns,N,N,N,Y,Letters to Sappho and replies ,N
,,13,Good,Mother Xmas,Vera Keast,Article,Columns,N,N,N,N,N/A,N
,,14,Good,N/A,Vera Keast,Article,Columns,N,N,N,N,N/A,N
,,15,Good,Poems,Renee Bailey ,Poem,Columns,Y,Large graphic,N,N,N/A,N
,,16,Good,N/A,Anna Cucolo,Poem,Columns,N,N,N,N,N/A,N
,,17,Good,Love Stories,Virgina Dare,Article,Columns,N,N,N,N,N/A,N
,,18,Good,The Lovers,N/A,Photos,Photo ,Y,Photograph,N,N,N/A,N
,,19,Good,N/A,Cathy Ward,Exerpt of exhibition,Paragraph,Y,Photograph,N,N,N/A,N
,,20,Good,N/A,"Virgina Dare, Barbara Dixon",Article,Columns,N,N,N,N,N/A,N
,,21,Good,N/A,N/A,Adverts,"Illustration, Text",Y,Advert,Poetry book,N,N/A,N
,,22,Good,"Het, Best Friends",Kipa ,Article,Columns,N,N,N,N,N/A,N
,,23,Good,N/A,Kipa ,Article,Columns,Y,Comic,N,N,N/A,N
,,24,Good,N/A,N/A,Adverts,Paragraph,N,N,Music,N,N/A,N
,,25,Good,Amazon,N/A,Article,Paragraph,Y,"Title, Graphic",N,N,N/A,N
,,26,Good,She in Che ,Carol Lee,Article,Columns,N,N,N,N,N/A,N
,,27,Good,N/A,Carol Lee,Article,Columns,N,N,N,N,N/A,N
,,28,Good,N/A,N/A,Adverts,Illustration,Y,Advert,"Bookshops, Sappho promotional graphics",Y,Letters to Sappho and replies ,N
,,29,Good,Bristol,Julia Wassell,Article,Columns,N,N,N,N,N/A,Meetings for advertised groups
